Composition,Cal. E (GPa),Cal. G (GPa),Cal. K (GPa),Cal. K/G,E (GPa),E/? (GPa cm3/g),Ec (GPa) Calculated by Eq. (8.2),Ec (GPa) Calculated by Eq. (8.3),Ec (GPa) Calculated by Eq. (8.4),G (GPa),G (GPa).1,G/K,Gc (kJ/m^2),Hv (GPa),K (GPa),K/G,Kc (MPa m^1/2),Tg (K),Tl (K),Tm (K),Trg,Tx (K),dK/dP,dc (mm),dvl/dP (km/s GPa),dvs/dP (km/s GPa),mk,mt,vl (km/s),vl/vs,vs (km/s),?E/E0,?E/E0 (%),?G/G0,?G/G0 (%),?K/K0,?K/K0 (%),?Vl/Vl0 (%),?Vs/Vs0 (%),?vl/vl0,?vs/vs0,??D/?D0,??/?0,??/?0 (%),??/?0,??/?0 (%),?av,?l,?s,?sla,?D (K),?,? (g/cm3),?f (GPa)
Zr41Ti14Cu12.5Ni10Be22.5,105.5,47.1,115,2.44,101.2,16.53,,,,37.4,,0.324,72,5.23,114.1,3.05,86,620,,,,,,,,,50,39,5.174,2.09,2.472,,,,,,,,,,,,,,,,,,,,326.8,0.352,6.125,1.8
Zr46.75Ti8.25Cu7.5Ni10Be27.5,103.9,47.6,113.7,2.39,100.5,16.7,113.6,85.8,103.9,37.2,,,,6.1,111.9,3.01,,623,,,,,,,,,44,34,5.182,2.08,2.487,,,,,,,,,,,,,,,,,,,,327.1,0.35,6.014,1.83
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25,,,,,99.9,16.52,113,86.3,103.8,37,,,,,111.9,3.02,,,,,,,,,,,,,5.163,2.09,2.473,,,,,,,,,,,,,,,,,,,,325.6,0.35,6.048,
Zr65Al10Ni10Cu15,79.1,35.7,103.4,2.89,97.3,15.52,81.1,74,79.1,35.9,,,,5.6,112,3.12,,652,,,,,,,,,,35,5.05,2.11,2.393,,,,,,,,,,,,,,,,,,,,292.9,0.355,6.271,1.45
Zr52.5Al10Ni10Cu15Be12.5,,,,,97.2,15.41,,,,35.9,,,,,112,3.12,,,,,,,,,,,,,5.033,2.11,2.384,,,,,,,,,,,,,,,,,,,,306.6,0.355,6.295,
Zr57Nb5Cu15.4Ni12.6Al10,82.6,36.6,107.4,2.93,87.3,13.05,85.4,76.6,82.6,32,,0.297,7,5.9,107.7,3.37,27,687,,,,,,,,,,,4.74,2.17,2.186,,,,,,,,,,,,,,,,,,,,274.8,0.365,6.69,1.8
Zr57Nb5Cu15.4Ni12.6Al10,82.6,36.6,107.4,2.93,86.2,12.75,85.4,76.6,82.6,31.5,,0.297,7,5.9,110.9,3.53,27,687,,,,,,,,,,,4.755,2.2,2.157,,,,,,,,,,,,,,,,,,,,272.3,0.37,6.758,1.8
Zr50Al10Ni10Cu15Be15,,,,,104.1,16.5,,,,38.8,,,,,110.9,2.86,,,,,,,,,,,,,5.075,2.05,2.478,,,,,,,,,,,,,,,,,,,,321.5,0.343,6.311,
Zr61Cu17.3Ni12.8Al7.9Sn1,,,,,77.4,11.38,,,,28.2,,0.274,44,,102.6,3.64,46.2,665,,,,,,,,,,,4.539,2.23,2.035,,,,,,,,,,,,,,,,,,,,256.7,0.374,6.801,1.77
Zr55Al10Ni10Cu15Be10,,,,,93.7,14.62,,,,34.4,,,,,111.6,3.24,,,,,,,,,,,,,4.958,2.14,2.355,,,,,,,,,,,,,,,,,,,,296.9,0.36,6.408,
Zr60Al10Ni10Cu15Be5,,,,,78,12.01,,,,28.2,,,,,109.7,3.89,,,,,,,,,,,,,5.763,2.28,2.085,,,,,,,,,,,,,,,,,,,,264,0.381,6.497,
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)98Al2,,,,,101.8,17.3,,,,32.8,,,,,110.6,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347,5.89,
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)95Al5,,,,,108.9,18.5,,,,40.5,,,,,115.8,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343,5.87,
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)92Al8,,,,,86.7,14.7,,,,32.3,,,,,91.6,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,5.88,
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)90Al10,,,,,118.1,20,,,,44.5,,,,,113.8,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327,5.89,
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)88Al12,,,,,117.1,20.7,,,,44.1,,,,,112.6,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,5.66,
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)85Al15,,,,,117.5,20.5,,,,48.4,,,,,116.9,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,5.72,
Zr41Ti14Cu12.5Ni9Be22.5C1,,,,,105.7,17.15,,,,39.5,,,,,107.3,2.71,,,,,,,,,,,,,5.097,2.01,2.534,,,,,,,,,,,,,,,,,,,,335.7,0.336,6.161,
Zr34Ti15Cu10Ni11Be28Y2,,,,,110.3,19.09,,,,41.7,,,,,103.7,2.49,,,,,,,,,,,,,5.251,1.95,2.686,,,,,,,,,,,,,,,,,,,,356.3,0.32,5.778,
(Zr41Ti14Cu12.5Ni10Be22.5)98Y2,,,,,107.3,18.31,,,,40.2,,,,,108.7,2.71,,,,,,,,,,,,,5.263,2.01,2.619,,,,,,,,,,,,,,,,,,,,339.2,0.34,5.86,
Zr41Ti14Cu12.5Ni8Be22.5Fe2,,,,,97.8,16.08,,,,36.1,,,,,112.3,3.11,,,,,,,,,,,,,5.135,2.11,2.436,,,,,,,,,,,,,,,,,,,,321.5,0.355,6.083,
Zr41Ti14Cu12.5Ni5Be22.5Fe5,,,,,98.4,16.11,,,,36.3,,,,,112.3,3.09,,,,,,,,,,,,,5.13,2.1,2.439,,,,,,,,,,,,,,,,,,,,322.4,0.354,6.108,
Zr41Ti14Cu12.5Ni2Be22.5Fe8,,,,,93.8,15.79,,,,35,,,,,98.4,2.81,,,,,,,,,,,,,4.942,2.04,2.427,,,,,,,,,,,,,,,,,,,,317.4,0.341,5.938,
Zr41Ti14Cu12.5Be22.5Fe10,,,,,103.9,17.08,,,,38.7,,,,,109.8,2.84,,,,,,,,,,,,,5.151,2.04,2.522,,,,,,,,,,,,,,,,,,,,332.8,0.342,6.086,
Zr36Ti14Cu12.5Ni5Be20.5Fe12,,,,,92.7,14.21,,,,34,,,,,113.4,3.34,,,,,,,,,,,,,4.933,2.16,2.283,,,,,,,,,,,,,,,,,,,,310.2,0.364,6.52,
Zr53Ti5Cu20Ni12Al10,84.8,37.3,106.9,2.86,86,12.74,,,,31.3,,,,,112.3,3.58,,668,,,,723,,,,,,,4.7774,2.22,2.155,54,,48,,10,,,,2.32,-0.32,22,,,2.94,,,,,,276,0.37,6.749,
(Zr58.9Ti5.6Cu22.2Ni13.3)88Al12,,,,,91,13.59,,,,33.4,,,,,111.4,3.34,,,,,,,,,,,,,4.825,2.16,2.232,,,,,,,,,,,,,,,,,,,,286.2,0.36,6.696,
(Zr59Ti6Cu22Ni13)85.7Al14.3,,,,,92.7,14.03,,,,34,,,,,112.7,3.31,,,,,,,,,,,,,4.89,2.15,2.269,,,,,,,,,,,,,,,,,,,,291.1,0.363,6.608,
Zr53Ti5Cu20Ni12Al15,,,,,92.1,14.02,,,,33.8,,,,,112.3,3.32,,,,,,,,,,,,,4.893,2.16,2.268,,,,,,,,,,,,,,,,,,,,290.5,0.36,6.572,
(Zr58.9Ti5.6Cu22.2Ni13.3)84Al16,,,,,95.8,14.62,,,,35.3,,,,,113.3,3.21,,,,,,,,,,,,,4.946,2.13,2.319,,,,,,,,,,,,,,,,,,,,297.9,0.36,6.553,
Zr52.5Ti5Cu17.9Ni14.6Al10,,,,,88.6,13.16,,,,32.3,,,,,114.1,3.53,,,,,,,,,,,,,4.833,2.2,2.191,,,,,,,,,,,,,,,,,,,,280.7,0.37,6.73,
Zr40Mg0.5Ti15Cu11Ni11Be21.5Y1,,,,,94.2,15.58,,,,34.7,,,,,109.9,3.16,,,,,,,,,,,,,5.081,2.12,2.396,,,,,,,,,,,,,,,,,,,,315.3,0.357,6.048,
Zr48Nb8Cu14Ni12Be18,,,,,94,14.02,,,,34.4,,,,,118.4,3.45,,656,,,,721,,,,,,,4.95,2.19,2.264,18.4,,19.2,,9.9,,,,5.5,8.7,,-2.7,,0.98,,,,,,295.2,0.368,6.7,
Zr45Nb10Cu13Ni10Be22,,,,,98.9,15.16,,,,36.4,,,,,117.9,3.24,,,,,,,,,,,,,5.05,2.14,2.361,,,,,,,,,,,,,,,,,,,,308.2,0.36,6.523,
Zr45Nb8Cu13Ni4Be22Fe8,,,,,95.5,14.59,,,,35.1,,,,,114.9,3.28,,,,,,,,,,,,,4.97,2.15,2.315,,,,,,,,,,,,,,,,,,,,304,0.361,6.543,
Zr48Nb8Cu12Be24Fe8,100.4,45.6,116.1,2.55,95.7,14.87,,,,35.2,,,,,113.6,3.23,,,,,,,,,,,,,4.994,2.14,2.338,,,,,,,,,,,,,,,,,,,,305.4,0.36,6.436,
Zr60Nb3Cu14Ni13Al10,,,,,85.4,12.69,,,,31.1,,,,,112.3,3.61,,,,,,,,,,,,,4.78,2.22,2.15,,,,,,,,,,,,,,,,,,,,270.8,0.373,6.73,
Zr55Nb9Cu15Ni11Al10,,,,,95,13.82,,,,34.8,,,,,117.3,3.37,,,,,,,,,,,,,4.88,2.17,2.25,,,,,,,,,,,,,,,,,,,,284.5,0.365,6.875,
(Zr55Nb9Cu15Ni11Al10)99B1,,,,,82.3,12.18,,,,30,,,,,108.2,3.61,,,,,,,,,,,,,4.681,2.22,2.106,,,,,,,,,,,,,,,,,,,,279,0.373,6.76,
Zr52.7Nb5Cu17.9Ni14.6Al10,,,,,82.9,12.46,,,,30.2,,,,,109.7,3.64,,,,,,,,,,,,,4.747,2.23,2.129,,,,,,,,,,,,,,,,,,,,,0.37,6.651,
(ZrNb)72.8(CuNiAl)27.2,,,,,73.2,10.97,,,,26.4,,,,,106.2,4.02,,,,,,,,,,,,,4.604,2.31,1.99,,,,,,,,,,,,,,,,,,,,,0.385,6.675,
(ZrNb)73.4(CuNiAl)26.6,,,,,71.4,10.71,,,,25.9,,,,,96.7,3.73,,,,,,,,,,,,,4.437,2.25,1.972,,,,,,,,,,,,,,,,,,,,,0.377,6.67,
(ZrNb)70.7(CuNiAl)29.3,,,,,76.1,11.46,,,,27.6,,,,,105.8,3.84,,,,,,,,,,,,,4.633,2.27,2.038,,,,,,,,,,,,,,,,,,,,,0.38,6.643,
Zr58Ni26.6Al15.4,,,,,88.9,13.63,,,,32.4,,,,,114.8,3.54,,,,,,,,,,,,,4.922,2.21,2.23,,,,,,,,,,,,,,,,,,,,283,0.371,6.522,
Zr55.8Ni24.8Al19.4,,,,,94.3,14.9,,,,34.6,,,,,113.9,3.29,,,,,,,,,,,,,5.029,2.15,2.339,,,,,,,,,,,,,,,,,,,,296.2,0.362,6.328,
Zr53Ni23.5Al23.5,,,,,101.2,16.41,,,,37.4,,,,,115.1,3.07,,,,,,,,,,,,,5.169,2.1,2.462,,,,,,,,,,,,,,,,,,,,312.1,0.353,6.171,
Zr45.25Cu46.25Al7.5Sn1,,,,,97.3,,,,,37.5,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Zr55Al15Ni10Cu20)98Y2,,,,,92.1,14.03,,,,33.8,,,,,110.6,3.27,,,,,,,,,,,,,4.87,2.14,2.27,,,,,,,,,,,,,,,,,,,,287.7,0.361,6.56,
(Zr55Al15Ni10Cu20)96Y4,,,,,85.9,13.34,,,,31.5,,,,,104.8,3.32,,,,,,,,,,,,,4.774,2.16,2.212,,,,,,,,,,,,,,,,,,,,278.3,0.363,6.44,
Zr61.88Al10Ni10.12Cu18,,,,,80.1,12.05,,,,29.1,,,,,108.3,3.72,,,,,,,,,,,,,4.704,2.25,2.092,,,,,,,,,,,,,,,,,,,,262.9,0.377,6.649,
Zr61.88Al10Ni10.12Cu18,,,,,80.5,12.08,,,,29.3,,,,,107.7,3.68,,,,,,,,,,,,,4.693,2.24,2.096,,,,,,,,,,,,,,,,,,,,263.5,0.375,6.664,
Zr64.13Al10Ni10.12Cu15.75,,,,,78.4,11.87,,,,28.5,,,,,106.6,3.75,,,,,,,,,,,,,4.679,2.254,2.076,,,,,,,,,,,,,,,,,,,,259.6,0.377,6.604,
Zr65.025Cu14.85Ni10.125Al10,,,,,78.2,11.87,,,,28.4,,,,,104.4,3.67,,,,,,,,,,,,,4.648,2.24,2.078,,,,,,,,,,,,,,,,,,,,259.2,0.375,6.585,
Zr62.325Cu17.55Ni10.125Al10,,,,,81,12.13,,,,29.5,,,,,108.4,3.68,,,,,,,,,,,,,4.702,2.24,2.1,,,,,,,,,,,,,,,,,,,,264.1,0.375,6.678,
Zr62.325Cu17.55Ni10.125Al10,,,,,82,12.27,,,,29.9,,,,,108.3,3.63,,,,,,,,,,,,,4.706,2.23,2.113,,,,,,,,,,,,,,,,,,,,266,0.373,6.685,
Zr61Cu18.3Ni12.8Al7.9,,,,,79.1,11.59,,,,28.9,,,,,101.4,3.5,,,,,,,,,,,,,4.527,2.2,2.057,,,,,,,,,,,,,,,,,,,,260.2,0.37,6.824,
Zr61Cu17.8Ni12.8Al7.9Sn0.5,,,,,78.8,11.62,,,,28.8,,,,,101.3,3.5,,,,,,,,,,,,,4.537,2.2,2.059,,,,,,,,,,,,,,,,,,,,259.6,0.37,6.784,
Zr61Cu16.8Ni12.8Al7.9Sn1.5,,,,,77.3,11.38,,,,28.4,,,,,92.9,3.27,,,,,,,,,,,,,4.387,2.15,2.043,,,,,,,,,,,,,,,,,,,,256.9,0.362,6.794,
Zr61Cu16.3Ni12.8Al7.9Sn2,,,,,81.9,12.08,,,,30.1,,0.3,14.6,,99.8,3.32,37.6,,,,,,,,,,,,4.542,2.16,2.105,,,,,,,,,,,,,,,,,,,,264.2,0.363,6.779,
Zr61Cu15.8Ni12.8Al7.9Sn2.5,,,,,81.5,11.95,,,,29.8,,,,,102.1,3.42,,,,,,,,,,,,,4.561,2.18,2.09,,,,,,,,,,,,,,,,,,,,262.7,0.367,6.819,
Zr60.525Cu19.35Ni10.125Al10,,,,,82,12.24,,,,29.8,,,,,109,3.65,,,,,,,,,,,,,4.712,2.23,2.11,,,,,,,,,,,,,,,,,,,,266.2,0.374,6.701,
Zr62Al10Ni12.6Cu15.4,,,,,79.7,12.04,,,,28.9,,,,,109,3.77,,,,,,,,,,,,,4.723,2.26,2.09,,,,,,,,,,,,,,,,,,,,262.3,0.378,6.615,
Zr35Ti30Cu7.5Be27.5,,,,,92.5,17.36,,,,34.5,,,,,96.5,2.79,,,,,,,,,,,,,5.172,2.03,2.545,,,,,,,,,,,,,,,,,,,,,0.34,5.329,
Zr33Ti30Cu7.5Be27.5Al2,,,,,97.7,18.57,,,,36.7,,,,,97.2,2.65,,,,,,,,,,,,,5.27,2,2.64,,,,,,,,,,,,,,,,,,,,,0.332,5.26,
Zr30Ti30Cu7.5Be27.5Al5,,,,,105.1,20.5,,,,39.7,,,,,98.3,2.48,,,,,,,,,,,,,5.429,1.95,2.782,,,,,,,,,,,,,,,,,,,,,0.322,5.134,
Zr25Ti30Cu7.5Be27.5Al10,,,,,114.8,23.3,,,,43.7,,,,,101.7,2.33,,,,,,,,,,,,,5.7,1.91,2.98,,,,,,,,,,,,,,,,,,,,,0.312,4.926,
Zr50Cu25Be25,,,,,96.8,15.8,,,,35.8,,,,,108.9,3.04,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,6.12,
Zr50Cu43Ag7,,,,,90.5,,,,,32.8,,,,,124.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,,
Zr35Ti30Cu8.25Be26.75,,,,,86.9,16.1,,,,31.8,,0.285,96.1,,113.7,3.57,85,578,,,,,,,,,66,66,,,,,,,,,,,,,,,,,,,,,,,,0.37,5.4,
Pd39Ni10Cu30P21,,,,,98.6,10.8,,,,35.3,,,,,159.4,4.52,,,,,,,,,,,,,4.75,2.42,1.963,,1.38,,1.34,,1.98,0.75,0.51,,,,,0.15,,0.32,,,,,279.6,0.397,9.152,
Pd40Ni10Cu30P20,,,,,99.8,10.77,87.4,13.2,21.7,35.5,,,,5,172.6,4.86,,560,,,,,,,,,,,4.874,2.49,1.959,,,,,,,,,,,,,,,,,,,,279.4,0.404,9.259,1.52
Pd80P20,,,,,80.5,7.88,,,,28.2,,,,,160,5.67,,607,,,,,,,,,,,4.3,2.63,1.63,,,,,,,,,,,,,,,,,,,,,0.416,10.22,
Pd64Ni16P20,,,,,93.5,9.26,,,,32.8,,,,,172,5.24,,,,,,,,,,,,,4.56,2.55,1.79,,,,,,,,,,,,,,,,,,,,,0.41,10.08,
Pd40Ni40P20,,,,,105,11.16,101.3,13.1,22.1,36.5,,,,5.3,175,4.79,,583,,,,,,,0.064,0.019,54,41,4.9,2.5,1.96,,,,,,,,,,,,,,,,2.59,3.3,2.23,,292,0.4,9.405,1.7
Pd16Ni64P20,,,,,105.8,12.09,,,,37.9,,,,,169.8,4.48,,,,,,,,,,,,,5.017,2.41,2.08,,,,,,,,,,,,,,,,,,,,,0.396,8.75,
Pd64Fe16P20,,,,,93,9.26,,,,33.1,,,,,161.9,4.9,,630,,,,,,,,,,,4.53,2.49,1.816,,,,,,,,,,,,,,,,,,,,256,0.404,10.04,
Pd56Fe24P20,,,,,96,9.7,,,,34.3,,,,,161.2,4.9,,,,,,,,,,,,,4.572,2.45,1.86,,,,,,,,,,,,,,,,,,,,,0.401,9.9,
Pd81Si19,,,,,94.5,8.91,,,,33.4,,,,,182.6,5.46,,,,,,,,,,,,,4.627,2.61,1.775,,,,,,,,,,,,,,,,,,,,246.3,0.414,10.61,
Pd77.5Si16.5Cu6,,,,,92.9,8.93,105.1,90.1,96.4,32.9,,,,4.5,174.6,5.29,,630,,,,,,,,,73,52,4.584,2.58,1.779,,,,,,,,,,,,,,,,,,,,252,0.411,10.4,1.55
Pd79Ag3.5P6Si9.5Ge2,,,,,,,,,,31,,0.18,,,172,5.54,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,
Pt60Ni15P25,,,,,96.1,6.12,106.1,12,18.4,33.8,,,,4.1,201.9,5.94,,485,,,,,,,,,68,86,3.965,2.67,1.467,,,,,,,,,,,,,,,,,,,,205,0.421,15.71,
Pt57.5Cu14.7Ni5.3P22.5,,,,,94.8,6.31,,,,33.3,,0.167,90,,198.7,5.97,84,508,,,,,,,,,,68,4,2.7,1.481,,,,,,,,,,,,,,,,,,,,206,0.42,15.02,1.4
Pt74.7Cu1.5Ag0.3P18B4Si1.5,,,,,,,,,,32.4,,0.15,,3.95,216.7,6.69,125,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,17.23,1.2
Au49Ag5.5Pd2.3Cu26.9Si16.3,,,,,74.4,,83.2,74.7,78.9,26.5,,,,,132.3,5,,401,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,0.406,,
Cu50Zr50,89.3,39.1,114.3,2.92,85,11.48,88.9,81,89.3,31.3,,,,5.8,101.2,3.22,,733,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,231,0.36,7.404,1.92
(Cu50Zr50)96Al4,88.3,38.3,112.1,2.92,88.7,12.3,88.2,80.5,88.3,32.4,,,,,113.7,3.51,,,,,,,,,,,,,4.661,2.2,2.118,,,,,,,,,,,,,,,,,,,,274.6,0.37,7.221,
(Cu50Zr50)94.5Al5.5,,,,,89,12.4,,,,32.4,,,,,115.6,3.56,,,,,,,,,,,,,4.706,2.21,2.126,,,,,,,,,,,,,,,,,,,,276.3,0.372,7.174,
(Cu50Zr50)94Al6,,,,,92.4,12.96,,,,33.8,,,,,113.8,3.36,,,,,,,,,,,,,4.722,2.17,2.179,,,,,,,,,,,,,,,,,,,,282.4,0.365,7.129,
(Cu50Zr50)92Al8,,,,,93.7,13.24,87.4,80,87.4,34.3,,,,,116.4,3.39,,,,,,,,,,,,43,4.787,2.17,2.202,,,,,,,,,,,,,,,,,,,,286,0.366,7.076,
(Cu50Zr50)90Al10,,,,,99.1,13.76,,,,36.3,,,,,121.4,3.34,,,,,,,,,,,,,4.855,2.16,2.246,,,,,,,,,,,,,,,,,,,,294.8,0.364,7.204,
(Cu50Zr50)92Al7Gd1,,,,,90.6,12.71,,,,32.9,,,,,123.7,3.76,,,,,,,,,,,,29,4.848,2.26,2.148,,,,,,,,,,,,,,,,,,,,278.7,0.38,7.127,
Cu45Zr45Al7Gd3,,,,,89,12.42,,,,32.4,,,,,117.1,3.62,,,,,,,,,,,,,4.731,2.22,2.127,,,,,,,,,,,,,,,,,,,,274.1,0.373,7.162,
Cu50Zr45Al5,,,,,91.2,12.63,,,,33.3,,,,5.4,117.3,3.52,,701,,,,,,,,,,,4.731,2.2,2.147,,,,,,,,,,,,,,,,,,,,278,0.37,7.223,1.89
Cu46Zr42Al7Y5,,,,,80,11.52,,,,29.1,,,,,106.8,3.67,,,,,,,,,,,,49,4.578,2.24,2.047,,,,,,,,,,,,,,,,,,,,264.2,0.375,6.946,
Cu46Zr44Al7Y3,,,,,87.7,14.8,,,,32,,,,,112.1,3.5,,,,,,,,,,,,,4.694,2.2,2.135,,,,,,,,,,,,,,,,,,,,276.12,0.37,7.026,
(Cu46Zr42Al7Y5)96Cr4,,,,,85.7,12.24,,,,31.2,,,,,114.3,3.66,,,,,,,,,,,,,4.719,2.24,2.11,,,,,,,,,,,,,,,,,,,,274.1,0.375,7.001,
